date,holidayName
2015-01-01,New Year's Day
2015-01-03,Weekend
2015-01-04,Weekend
2015-01-10,Weekend
2015-01-11,Weekend
2015-01-17,Weekend
2015-01-18,Weekend
2015-01-19,Martin Luther King Jr. Day
2015-01-24,Weekend
2015-01-25,Weekend
2015-01-31,Weekend
2015-02-01,Weekend
2015-02-07,Weekend
2015-02-08,Weekend
2015-02-14,Weekend
2015-02-15,Weekend
2015-02-16,Washington's Birthday
2015-02-21,Weekend
2015-02-22,Weekend
2015-02-28,Weekend
2015-03-01,Weekend
2015-03-07,Weekend
2015-03-08,Weekend
2015-03-14,Weekend
2015-03-15,Weekend
2015-03-21,Weekend
2015-03-22,Weekend
2015-03-28,Weekend
2015-03-29,Weekend
2015-04-04,Weekend
2015-04-05,Weekend
2015-04-11,Weekend
2015-04-12,Weekend
2015-04-18,Weekend
2015-04-19,Weekend
2015-04-25,Weekend
2015-04-26,Weekend
2015-05-02,Weekend
2015-05-03,Weekend
2015-05-09,Weekend
2015-05-10,Weekend
2015-05-16,Weekend
2015-05-17,Weekend
2015-05-23,Weekend
2015-05-24,Weekend
2015-05-25,Memorial Day
2015-05-30,Weekend
2015-05-31,Weekend
2015-06-06,Weekend
2015-06-07,Weekend
2015-06-13,Weekend
2015-06-14,Weekend
2015-06-20,Weekend
2015-06-21,Weekend
2015-06-27,Weekend
2015-06-28,Weekend
2015-07-03,Independence Day (Observed)
2015-07-04,Independence Day
2015-07-05,Weekend
2015-07-11,Weekend
2015-07-12,Weekend
2015-07-18,Weekend
2015-07-19,Weekend
2015-07-25,Weekend
2015-07-26,Weekend
2015-08-01,Weekend
2015-08-02,Weekend
2015-08-08,Weekend
2015-08-09,Weekend
2015-08-15,Weekend
2015-08-16,Weekend
2015-08-22,Weekend
2015-08-23,Weekend
2015-08-29,Weekend
2015-08-30,Weekend
2015-09-05,Weekend
2015-09-06,Weekend
2015-09-07,Labor Day
2015-09-12,Weekend
2015-09-13,Weekend
2015-09-19,Weekend
2015-09-20,Weekend
2015-09-26,Weekend
2015-09-27,Weekend
2015-10-03,Weekend
2015-10-04,Weekend
2015-10-10,Weekend
2015-10-11,Weekend
2015-10-12,Columbus Day
2015-10-17,Weekend
2015-10-18,Weekend
2015-10-24,Weekend
2015-10-25,Weekend
2015-10-31,Weekend
2015-11-01,Weekend
2015-11-07,Weekend
2015-11-08,Weekend
2015-11-11,Veterans Day
2015-11-14,Weekend
2015-11-15,Weekend
2015-11-21,Weekend
2015-11-22,Weekend
2015-11-26,Thanksgiving
2015-11-28,Weekend
2015-11-29,Weekend
2015-12-05,Weekend
2015-12-06,Weekend
2015-12-12,Weekend
2015-12-13,Weekend
2015-12-19,Weekend
2015-12-20,Weekend
2015-12-25,Christmas Day
2015-12-26,Weekend
2015-12-27,Weekend
